FeatureStateId;description;featureStateId
CXC4012527;Lsh Support License;CXC4012527
CXC4012273;LTE - NR DownLink Aggregation;CXC4012273
CXC4012528;LTE-NR FDD Spectrum Sharing with Flexible Channel Bandwidth;CXC4012528
CXC4012504;EN-DC Triggered Handover during Connected Mode Mobility;CXC4012504
CXC4012543;LTE-NR FDD Spectrum Sharing with Policy-based Biasing;CXC4012543
CXC4012096;Internal 3;CXC4012096
CXC4012538;NR Limited Service Mode Emergency Call Support;CXC4012538
CXC4012581;LTE-NR FDD Spectrum Sharing with Rate Matching around LTE Synchronization Signal and PBCH;CXC4012581
CXC4012119;NS 05 Additional Maximum Power Reduction Support;CXC4012119
CXC4012238;Delay Tolerant Receiver;CXC4012238
CXC4012526;Internal Channel Bandwidth 7.5MHz;CXC4012526
CXC4012617;LTE-NR FDD Spectrum Sharing with QoS-Aware Relative Resource Allocation;CXC4012617
CXC4011068;OTDOA Control Plane Location Support;CXC4011068
CXC4011485;Multiple Frequency Band Indicators;CXC4011485
CXC4011712;Feicic With X2 Assistance;CXC4011712
CXC4011253;TTI Bundling;CXC4011253
CXC4010614;CDMA2000 Session Continuity Coverage-Triggered;CXC4010614
CXC4011427;4x2 Quad Antenna Downlink;CXC4011427
CXC4011062;Differentiated Admission Control;CXC4011062
CXC4010955;Air Interface Load Generator;CXC4010955
CXC4011940;Dynamic UE Admission Control;CXC4011940
CXC4011063;Subscriber triggered mobility;CXC4011063
CXC4010961;RLC in Unacknowledged Mode;CXC4010961
CXC4011955;Dynamic Pucch;CXC4011955
CXC4011512;;CXC4011512
CXC4011840;TM9 8x2 Octal Antenna Downlink Performance Package;CXC4011840
CXC4011711;Priority Paging;CXC4011711
CXC4011064;Delay-Based Scheduling and Grant Estimation;CXC4011064
CXC4011365;LTE Broadcast;CXC4011365
CXC4010949;CS Fallback for Dual-Radio UEs;CXC4010949
CXC4011666;Carrier Aggregation-Aware IFLB;CXC4011666
CXC4011665;SRVCC Handover to CDMA 1X;CXC4011665
CXC4011700;Cross DU Carrier Aggregation;CXC4011700
CXC4011715;Prescheduling in UL;CXC4011715
CXC4011155;Subscriber triggered mobility;CXC4011155
CXC4011368;Combined Cell;CXC4011368
CXC4011366;Multi-Target RRC Connection Re-Establishment;CXC4011366
CXC4011264;Single Layer Beamforming Performance Package;CXC4011264
CXC4011567;SUPPLEMENTARY DL ONLY CELL;CXC4011567
CXC4011930;FDD and TDD on Same eNodeB;CXC4011930
CXC4010616;WCDMA Session Continuity Coverage-Triggered;CXC4010616
CXC4011618;SIB16 Time Information Broadcast;CXC4011618
CXC4011074;Uplink Frequency-Selective Scheduling;CXC4011074
CXC4011946;64-QAM Uplink;CXC4011946
CXC4011256;High speed UE;CXC4011256
CXC4011319;Inter-Frequency Load Balancing;CXC4011319
CXC4011266;Coverage Triggered TD-SCDMA Session Continuity;CXC4011266
CXC4011716;PRS Management OTDOA;CXC4011716
CXC4011345;Mobility Control at Poor Coverage;CXC4011345
CXC4011699;Overlaid Cell Detection;CXC4011699
CXC4010974;Coverage-Triggered Inter-Frequency Handover;CXC4010974
CXC4011811;MME Overload Control;CXC4011811
CXC4011326;TM7 Mode Switching;CXC4011326
CXC4011378;Service Cell Soft Lock;CXC4011378
CXC4011373;Automated Cell Capacity Estimation;CXC4011373
CXC4011812;MeasBasedSCellSelection;CXC4011812
CXC4011443;Intra-LTE Inter-Mode Handover;CXC4011443
CXC4010770;Inter-Frequency Session Continuity Coverage-Triggered;CXC4010770
CXC4011958;Cell Sleep Mode;CXC4011958
CXC4010960;Shared LTE RAN;CXC4010960
CXC4011033;Minimum Rate Proportional Fair Scheduler;CXC4011033
CXC4011163;Operator Defined QCI;CXC4011163
CXC4011944;Load-Based Distribution at Release;CXC4011944
CXC4010609;Dual-Antenna Downlink Performance Package;CXC4010609
