specificProblem,eventType,probableCause,perceivedSeverity,MO Class Name,Model
Power Inconsistent Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,EquipmentSupportFunction,EquipmentSupportFunction
TimeSyncIO Reference Failed,equipmentAlarm,gsm1211ClockSynchronisationProblem,WARNING,RadioEquipmentClockReference,Transport
License Additional Resources Installed Alert,other,m3100Indeterminate,WARNING,InstantaneousLicensing,NodeSupport
Licensed Capacity Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,ExtTrx,BtsFunction
Licensed Capacity Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NodeBLocalCell,NodeBFunction
Licensed Capacity Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,Trx,BtsFunction
License Key Close to Expiration,processingErrorAlarm,x733ConfigurationOrCustomizationError,WARNING,Lm,SystemFunctions
SFP Product Number Mismatch,equipmentAlarm,m3100ReplaceableUnitTypeMismatch,WARNING,SfpModule,Equipment
E5U Link to GNBDU Failure,communicationsAlarm,m3100Unavailable,MINOR,InterMeLink,GNBDUFunction
ESS Service Unavailable,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EUtranCellFDD,ENodeBFunction
ESS Service Unavailable,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NRCellDU,GNBDUFunction
Link Degraded,equipmentAlarm,x733EquipmentMalfunction,MINOR,DiLink,Equipment
Link Degraded,equipmentAlarm,x733EquipmentMalfunction,MINOR,RiLink,Equipment
RNC Connection Failure,communicationsAlarm,x733CommunicationsSubsystemFailure,MAJOR,NbapCommon,NodeBFunction
Sync PTP Time Reliability Fault,communicationsAlarm,m3100Unavailable,MAJOR,RadioEquipmentClockReference,Transport
Scheduled Backup Failed,processingErrorAlarm,x733SoftwareProgramError,WARNING,BrmBackupScheduler,SystemFunctions
Scheduled Backup Failed,processingErrorAlarm,x733SoftwareProgramError,WARNING,BrmSingleEvent,SystemFunctions
RX Branch Imbalance Fault,equipmentAlarm,x733EquipmentMalfunction,MINOR,AntennaUnitGroup,Equipment
Incompatible HW Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,FieldReplaceableUnit,Equipment
Incompatible HW Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,IplPort,Equipment
Incompatible HW Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,SectorEquipmentFunction,NodeSupport
Incompatible HW Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,SfpModule,Equipment
Antenna General Problem,equipmentAlarm,gsm1211AntennaProblem,MINOR,AdbSubUnit,Equipment
Antenna General Problem,equipmentAlarm,gsm1211AntennaProblem,MINOR,AntennaNearUnit,Equipment
Antenna General Problem,equipmentAlarm,gsm1211AntennaProblem,MINOR,RetSubUnit,Equipment
Antenna General Problem,equipmentAlarm,gsm1211AntennaProblem,MINOR,TmaSubUnit,Equipment
Rollback Escalation Started,processingErrorAlarm,x733SoftwareProgramError,MAJOR,SysM,SystemFunctions
License Key Not Activated,processingErrorAlarm,x733ConfigurationOrCustomizationError,WARNING,FeatureState,SystemFunctions
Grace Period Activated,qualityOfServiceAlarm,x733ThresholdCrossed,MINOR,GracePeriod,SystemFunctions
Antenna Calibration DL Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
Antenna Calibration DL Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,SectorCarrier,ENodeBFunction
SW Version Mismatch,processingErrorAlarm,x733SoftwareError,MINOR,FieldReplaceableUnit,Equipment
Suspected Sleeping Cell,qualityOfServiceAlarm,x733ThresholdCrossed,MAJOR,EUtranCellFDD,ENodeBFunction
Suspected Sleeping Cell,qualityOfServiceAlarm,x733ThresholdCrossed,MAJOR,EUtranCellTDD,ENodeBFunction
Suspected Sleeping Cell,qualityOfServiceAlarm,x733ThresholdCrossed,MAJOR,NodeBLocalCell,NodeBFunction
OPM Supply Voltage Failure,equipmentAlarm,gsm1211PowerSupplyFailure,MINOR,OpmUnit,Equipment
OAM Connection to Unit Partial Failure,communicationsAlarm,m3100Unavailable,MINOR,FieldReplaceableUnit,Equipment
Battery Disconnected,equipmentAlarm,m3100ExternalIfDeviceProblem,MAJOR,BatteryBackup,EquipmentSupportFunction
Sync Inconsistent Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,WARNING,RadioEquipmentClock,Transport
Battery Failure Battery Disconnected,equipmentAlarm,gsm1211BatteryBreakdown,MAJOR,BatteryBackup,EquipmentSupportFunction
Battery Level Low Prio Load Disconnected,environmentalAlarm,m3100LowBatteryThreshold,MAJOR,BatteryBackup,EquipmentSupportFunction
Radio Interface Connectivity Disturbance Alert,other,m3100Indeterminate,WARNING,RiLink,Equipment
ADB Failure,equipmentAlarm,x733EquipmentMalfunction,WARNING,AdbSubUnit,Equipment
PSU Output Power Failure,equipmentAlarm,m3100ReplaceableUnitProblem,WARNING,FieldReplaceableUnit,Equipment
F1C Link to GNBCUCP Failure,communicationsAlarm,m3100Unavailable,MINOR,GNBDUFunction,GNBDUFunction
Sync Internal to Baseband Cluster Lost,equipmentAlarm,gsm1211ClockSynchronisationProblem,MINOR,FieldReplaceableUnit,Equipment
Antenna Calibration UL Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
Antenna Calibration UL Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,SectorCarrier,ENodeBFunction
Input Power Insufficient Taken out of Service,environmentalAlarm,gsm1211ExternalPowerSupplyFailure,MINOR,FieldReplaceableUnit,Equipment
ESS Service Degraded,qualityOfServiceAlarm,x733PerformanceDegraded,MINOR,EUtranCellFDD,ENodeBFunction
ESS Service Degraded,qualityOfServiceAlarm,x733PerformanceDegraded,MINOR,NRCellDU,GNBDUFunction
Antenna Communication Problem,communicationsAlarm,x733CommunicationsProtocolError,MINOR,AdbSubUnit,Equipment
Antenna Communication Problem,communicationsAlarm,x733CommunicationsProtocolError,MINOR,AntennaNearUnit,Equipment
Antenna Communication Problem,communicationsAlarm,x733CommunicationsProtocolError,MINOR,RetSubUnit,Equipment
Antenna Communication Problem,communicationsAlarm,x733CommunicationsProtocolError,MINOR,TmaSubUnit,Equipment
