Role,Model,MO Class Name,Access Rule
ENodeB_Application_Administrator,GNBDUFunction,RadioBearerTable and subtree,RWX
Bts_Application_User,ManagedElement,ManagedElement,R
ENodeB_Application_Administrator,ENodeBFunction,SubscriberProfileID and subtree,RWX
Transport_Application_Administrator,Transport,VlanPort and subtree,RWX
ENodeB_Application_Administrator,Equipment,Equipment,RWX
ENodeB_Application_Administrator,ENodeBFunction,AmoFunction and subtree,RWX
Bts_Application_Administrator,SystemFunctions,FmAlarm and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,MdtConfiguration and subtree,RWX
ENodeB_Application_Administrator,Equipment,SyncTestInterface and subtree,RWX
ENodeB_Application_SecurityAdministrator,GNBCUCPFunction,SecurityHandling and subtree,RWX
Bts_Application_User,SystemFunctions,Fm and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,EndcDistrProfile and subtree,RWX
ENodeB_Application_Administrator,Equipment,Equipment and subtree,R
GNodeB_Application_Administrator,GNBCUCPFunction,QciProfileEndcConfigExt and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,Band46UnlicensedProfile and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,PciHandling and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,EUtranCellFDD and subtree,RWX
ENodeB_Application_Administrator,Equipment,EnergyMeter and subtree,RWX
Transport_Application_Administrator,Transport,TransportAutomationAgent and subtree,RWX
GNodeB_Application_Administrator,Equipment,RcvdPowerScanner and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,EndcProfile and subtree,RWX
ENodeB_Application_Administrator,Equipment,TnPort and subtree,RWX
Support_Application_Administrator,Equipment,AntennaNearUnit and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,CUCP5qiTable and subtree,RWX
NodeB_Application_Administrator,Equipment,IplPort and subtree,RWX
ENodeB_Application_Administrator,Equipment,HereIAmIndication and subtree,RWX
Bts_Application_User,SystemFunctions,Lm and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,PwsCmas and subtree,RWX
ENodeB_Application_Administrator,SystemFunctions,SystemFunctions,R
Bts_Application_Administrator,Equipment,Equipment and subtree,R
NodeB_Application_Administrator,Equipment,AntennaNearUnit and subtree,RWX
ENodeB_Application_Administrator,Equipment,RiLink and subtree,RWX
NodeB_Application_Administrator,Equipment,FieldReplaceableUnit,RWX
Transport_Application_SecurityAdministrator,Transport,MacSecUcp,RWX
Bts_Application_Administrator,Equipment,RcvdPowerScanner and subtree,RWX
Bts_Application_Administrator,Equipment,AntennaUnitGroup and subtree,RWX
Support_Application_Administrator,ManagedElement,ManagedElement,R
GNodeB_Application_Administrator,GNBCUCPFunction,NrdcControl and subtree,RWX
Bts_Application_Administrator,Equipment,AlarmPort and subtree,RWX
Support_Application_Administrator,Equipment,RcvdPowerScanner and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,EmCall and subtree,RWX
Bts_Application_Administrator,Equipment,TnPort and subtree,RWX
Transport_Application_Administrator,SystemFunctions,Ntp and subtree,RWX
Bts_Application_Administrator,Transport,Transport and subtree,RWX
GNodeB_Application_Administrator,Equipment,Transceiver and subtree,RWX
Transport_Application_Administrator,Transport,Router and subtree,RWX
Support_Application_User,Equipment,ExternalNode and subtree,R
GNodeB_Application_Administrator,Equipment,RfPort and subtree,RWX
NodeB_Application_Administrator,Equipment,ORadio and subtree,RWX
Support_Application_User,SystemFunctions,Fm and subtree,R
NodeB_Application_Administrator,Equipment,Equipment,RWX
GNodeB_Application_Administrator,SystemFunctions,PmEventM and subtree,RWX
ENodeB_Application_Administrator,MceFunction,MceFunction and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,EndcUserProfile and subtree,RWX
ENodeB_Application_Administrator,ManagedElement,ManagedElement,R
ENodeB_Application_Administrator,ENodeBFunction,UeProfile and subtree,RWX
Bts_Application_Administrator,Equipment,ORiPort and subtree,RWX
NodeB_Application_User,SystemFunctions,Schema,RX
GNodeB_Application_Administrator,GNBCUCPFunction,TermPointToAmf and subtree,RWX
ENodeB_Application_Administrator,GNBDUFunction,DrxProfile and subtree,RWX
GNodeB_Application_Administrator,Equipment,RiNetwork and subtree,RWX
NodeB_Application_Administrator,Equipment,AlarmPort and subtree,RWX
ENodeB_Application_Administrator,Equipment,RiPort and subtree,RWX
NodeB_Application_User,SystemFunctions,Lm and subtree,R
NodeB_Application_Administrator,Equipment,SfpModule and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,Cdma2000Network and subtree,RWX
Support_Application_Administrator,Equipment,MpProcessingResource and subtree,RWX
GNodeB_Application_Administrator,Equipment,PimcHwacControl and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,CellSleepNodeFunction and subtree,RWX
Bts_Application_Administrator,Equipment,PimcHwacControl and subtree,RWX
ENodeB_Application_Administrator,GNBDUFunction,Paging and subtree,RWX
GNodeB_Application_User,GNBDUFunction,GNBDUFunction and subtree,R
Bts_Application_User,Transport,Transport and subtree,R
NodeB_Application_User,NodeBFunction,NodeBFunction and subtree,R
ENodeB_Application_Administrator,GNBCUUPFunction,RpUserPlaneTermination and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,ENodeBFunction,RWX
Bts_Application_Administrator,SystemFunctions,Lm and subtree,RWX
Support_Application_Administrator,NodeSupport,OnSiteActivities and subtree,RWX
Support_Application_Administrator,Equipment,TnPort and subtree,RWX
Bts_Application_Administrator,Equipment,FieldReplaceableUnit and subtree,R
